  Nr    Dags.    Timi      Breidd     Lengd   Dypi   M     ML
   1 20220905 000527.195 66.53447 -18.89888  5.632  1.13  1.18
   2 20220905 001239.750 66.62453 -17.93015  7.511  1.33  1.18
   3 20220905 002206.783 63.86661 -22.44638  2.447 -0.16 -1.16
   4 20220905 010858.618 66.22826 -18.54552  8.048  0.77  0.89
   5 20220905 013825.210 63.88831 -22.35872  6.238  0.70 -0.34
   6 20220905 015804.344 63.79697 -22.71985  4.627  0.29 -0.42
   7 20220905 020237.161 63.84842 -22.61167  4.634  0.35 -1.11
   8 20220905 020736.243 63.85569 -22.58797  5.014  0.77  0.03
   9 20220905 021206.350 63.78613 -22.73595  5.915  0.35 -0.56
  10 20220905 022400.432 63.89684 -22.24999  4.934  0.52 -0.51
  11 20220905 022618.756 66.54944 -18.91371 11.458  1.28  1.83
  12 20220905 023914.124 63.81546 -22.59777  3.413  0.44 -0.81
  13 20220905 025011.791 63.85685 -22.61759  6.123  0.23 -1.40
  14 20220905 025411.270 63.88507 -22.25356  4.974  0.48 -0.39
  15 20220905 025444.510 63.92746 -22.19584  2.604  0.26 -0.55
  16 20220905 031104.206 63.89552 -22.25287  5.627  0.53 -0.37
  17 20220905 034638.168 63.88530 -22.37957  4.636  0.68 -0.14
  18 20220905 042924.705 66.54056 -17.61556 10.005  2.05  2.06
  19 20220905 044744.384 63.98567 -16.57867  0.135  0.14  0.00
  20 20220905 052332.267 66.25441 -18.55953  7.994  1.10  1.24
  21 20220905 052830.024 65.11047 -16.78962  5.079  0.87  0.69
  22 20220905 062838.746 63.93502 -22.23221  4.202  0.77 -0.51
  23 20220905 070434.737 65.69947 -16.74882  2.208  0.56  0.20
  24 20220905 071125.136 63.91293 -22.24177  6.225  0.67 -0.30
  25 20220905 071355.538 63.91579 -22.23756  6.226  0.60 -0.50
  26 20220905 075845.123 66.22129 -17.85090 10.308  0.85  1.27
  27 20220905 085519.246 63.84963 -22.56070  4.595  0.38 -1.26
  28 20220905 090443.317 63.99343 -21.69690  6.531  0.60  0.53
  29 20220905 093556.215 65.15050 -16.31559  4.376  0.79  1.15
  30 20220905 093623.199 66.53136 -17.91767  2.316  1.02  1.51
  31 20220905 102213.486 63.85785 -22.61425  5.780  0.20 -1.45
  32 20220905 102833.909 66.26360 -16.71793  3.650  0.26  0.58
  33 20220905 104633.324 63.87738 -22.32643  0.135  0.02 -0.63
  34 20220905 124853.114 63.97268 -21.03373  0.135  0.49  0.47
  35 20220905 125744.098 63.83772 -22.68894  5.500  0.21 -0.69
  36 20220905 130459.588 63.91182 -19.66285  5.134  0.19 -0.29
  37 20220905 132838.360 63.91561 -22.09904  5.683  0.40 -0.12
  38 20220905 135703.844 66.50305 -17.62130  1.144  1.05  0.95
  39 20220905 144321.522 63.85027 -22.42789  2.213  0.01 -0.99
  40 20220905 162026.514 63.94357 -20.77344  7.944  0.96  0.44
  41 20220905 165546.618 64.02422 -21.56945  7.013  0.62  0.17
  42 20220905 165716.566 63.93940 -22.01765  3.121  0.55 -0.14
  43 20220905 175128.177 63.93653 -22.13858  3.409  0.51  0.38
  44 20220905 181953.296 63.81894 -22.68796  4.402  1.77  1.14
  45 20220905 182015.319 63.81184 -22.64512  2.364 -0.17 -0.53
  46 20220905 182154.269 63.82326 -22.67713  3.212  0.76  0.26
  47 20220905 182550.649 63.92171 -22.20975  2.210  0.02 -0.50
  48 20220905 183157.111 64.03063 -21.21145  5.447  0.83 -0.15
  49 20220905 183808.769 64.05579 -21.35552  3.544  0.42  0.12
  50 20220905 185354.868 63.92112 -22.20638  1.942  0.16 -0.68
  51 20220905 191215.511 63.85862 -22.60857  4.201  0.47 -0.07
  52 20220905 193302.445 63.92193 -22.21178  2.537  0.12 -0.24
  53 20220905 193356.625 63.91957 -22.20391  2.205  0.14 -0.48
  54 20220905 193845.497 63.92266 -22.21030  2.139  0.36 -0.28
  55 20220905 194028.880 68.17487 -17.81159 10.005  2.42  2.39
  56 20220905 195055.127 63.92487 -22.21246  2.376 -0.06 -0.54
  57 20220905 195908.101 65.21180 -16.35781  6.206  0.38  0.51
  58 20220905 200556.649 63.92197 -22.20994  5.686  0.33 -0.62
  59 20220905 201156.944 64.00076 -19.99557  7.273  0.82  0.26
  60 20220905 201619.941 63.87335 -22.32346  6.676  0.61  0.21
  61 20220905 202241.848 63.84895 -22.57751  5.005  0.46 -0.05
  62 20220905 202434.528 63.84740 -22.57349  5.519  0.80  0.49
  63 20220905 202620.605 63.91830 -22.19783  3.186  0.97  0.34
  64 20220905 202747.310 63.92455 -22.18237  3.417  0.37 -0.02
  65 20220905 204206.962 63.84579 -22.57082  5.300  0.74  0.23
  66 20220905 210606.979 63.82436 -22.67960  3.026  0.93  0.01
  67 20220905 210624.495 63.81258 -22.66805  3.675  0.11 -0.55
  68 20220905 210833.737 63.81601 -22.68257  4.587  2.26  1.65
  69 20220905 211000.216 63.80954 -22.66862  4.215  0.24 -0.46
  70 20220905 211201.230 63.80132 -22.62508  9.627  0.50 -0.51
  71 20220905 211235.765 63.89481 -22.37882  5.974  0.45 -0.27
  72 20220905 211358.929 63.82019 -22.67996  4.354  1.61  1.04
  73 20220905 211728.559 63.82013 -22.68964  3.929  0.41  0.15
  74 20220905 211811.371 63.82100 -22.68116  3.691  0.46  0.61
  75 20220905 212005.433 63.65351 -19.12619  0.135  1.61  1.05
  76 20220905 212148.553 63.83131 -22.68149  2.769  0.12 -0.34
  77 20220905 213903.117 63.84523 -22.56987  5.528  0.47 -0.29
  78 20220905 215639.859 63.84388 -22.56646  4.974  0.40 -0.69
  79 20220905 215837.325 63.81654 -22.56857  4.222 -0.23 -1.23
  80 20220905 220104.679 63.94291 -21.97582  5.221  0.65  0.39
  81 20220905 222814.608 66.61870 -17.74421 10.978  1.34  1.45
  82 20220905 222934.946 66.26765 -18.55503  4.222  0.75  1.17
  83 20220906 001325.886 63.89294 -22.37927  5.837  0.61  0.00
  84 20220906 002753.499 63.90003 -22.24660  5.021  0.11 -0.60
  85 20220906 010744.546 63.84852 -22.57482  5.003  0.80  0.20
  86 20220906 012903.937 63.84097 -22.67146  1.389  0.21 -0.21
  87 20220906 012937.719 63.82083 -22.67488  4.498  1.94  1.29
  88 20220906 013934.184 63.84372 -22.56881  5.357  0.33 -0.73
  89 20220906 014018.247 63.84333 -22.56806  4.034  0.31 -0.57
  90 20220906 015415.645 63.84480 -22.56828  5.548  0.23 -0.64
  91 20220906 015904.566 64.61842 -20.57376  4.303  1.56  0.96
  92 20220906 022036.139 63.81922 -22.67006  4.168  0.49 -0.13
  93 20220906 023535.101 63.94218 -22.17078  2.944  0.27 -0.35
  94 20220906 024218.333 63.93693 -22.18636  7.228  0.72 -0.57
  95 20220906 024951.947 63.83559 -22.57668  5.581  0.03 -1.07
  96 20220906 030434.131 63.84597 -22.57348  5.201  0.51 -0.11
  97 20220906 030920.152 63.84134 -22.57241  5.491  0.00 -1.26
  98 20220906 030949.073 63.84438 -22.57011  5.668 -0.50 -1.65
  99 20220906 032417.095 63.88764 -22.38141  4.639  0.40 -0.58
 100 20220906 033806.377 63.93680 -22.19539  4.119  3.52  2.96
 101 20220906 033911.010 63.93539 -22.18975  3.498  0.85  0.83
 102 20220906 033940.681 63.92974 -22.19683  3.189  0.04 -0.08
 103 20220906 034031.569 63.93690 -22.19794  3.540  1.92  1.33
 104 20220906 034202.263 63.90520 -22.18561  2.456  0.14 -0.44
 105 20220906 034227.278 63.93286 -22.19119  2.724  0.11 -0.45
 106 20220906 034252.079 63.93219 -22.21153  4.259  0.48 -0.21
 107 20220906 034343.162 63.93441 -22.19679  3.669  1.38  0.78
 108 20220906 034410.709 63.93289 -22.19460  3.961  1.66  1.14
 109 20220906 034534.091 63.92760 -22.19362  2.096  0.12 -0.42
 110 20220906 034858.441 63.93359 -22.19472  3.511  0.99  0.26
 111 20220906 035025.232 63.83934 -22.57765  4.789 -0.06 -1.26
 112 20220906 035212.593 63.92590 -22.20314  2.415  0.58  0.03
 113 20220906 035443.010 63.93977 -22.19102  4.252  1.60  1.03
 114 20220906 040228.796 63.93033 -22.19958  2.947  0.12 -0.47
 115 20220906 040623.329 63.92610 -22.20091  2.741  0.01 -0.50
 116 20220906 041138.805 63.93020 -22.20027  3.118  0.06 -0.42
 117 20220906 041232.510 66.41874 -17.61427 14.373  0.90  1.15
 118 20220906 041402.763 63.93188 -22.19452  2.787  0.15 -0.28
 119 20220906 041740.309 63.93080 -22.19471  2.794  0.10 -0.35
 120 20220906 042049.517 63.93372 -22.19153  3.801  1.25  0.37
 121 20220906 043020.071 63.92968 -22.19868  2.634  0.02 -0.55
 122 20220906 043341.225 63.92328 -22.20659  2.831  0.03  1.16
 123 20220906 044156.652 63.90080 -22.24327  4.968  0.17 -0.40
 124 20220906 045159.955 66.23039 -18.54387  1.528  0.50  0.62
 125 20220906 050100.568 63.92694 -22.20104  3.299  0.16 -0.39
 126 20220906 050959.738 63.93153 -22.19629  2.914  0.42 -0.11
 127 20220906 051028.958 63.93330 -22.19253  3.645  0.67  0.41
 128 20220906 051049.119 63.93407 -22.19336  3.262  0.23 -0.21
 129 20220906 051121.295 63.93336 -22.19383  3.584  1.18  0.73
 130 20220906 051519.391 66.22807 -18.53420  2.540  0.80  1.18
 131 20220906 051652.103 66.22939 -18.55116  7.637  0.28  0.42
 132 20220906 052306.778 63.92552 -22.19684  2.005 -0.05 -0.50
 133 20220906 052437.599 66.23225 -18.56088  2.667  1.13  1.17
 134 20220906 053441.942 66.22997 -18.55537  8.258  0.69  0.85
 135 20220906 054957.661 63.93859 -22.11893  5.411  0.45 -0.26
 136 20220906 055135.876 63.92679 -22.20198  2.409  0.25 -0.09
 137 20220906 060456.313 63.94844 -21.29023  6.446  0.70  0.51
 138 20220906 061605.515 63.93461 -22.19034  3.239  1.37  0.56
 139 20220906 062106.302 64.77952 -21.93389  2.863  1.20  1.51
 140 20220906 062320.283 66.22924 -18.55443  9.403  0.31  0.67
