"Landshlutar","Aldur","Ár","Kyn","Mannfjöldi eftir landshlutum, kyni og aldri 1. janúar 1998-2023"
"Höfuðborgarsvæði","Alls","2019","Alls",228231
"Höfuðborgarsvæði","Alls","2019","Karlar",115867
"Höfuðborgarsvæði","Alls","2019","Konur",112364
"Höfuðborgarsvæði","Alls","2019","Kynsegin/annað",0
"Höfuðborgarsvæði","Alls","2020","Alls",233034
"Höfuðborgarsvæði","Alls","2020","Karlar",118728
"Höfuðborgarsvæði","Alls","2020","Konur",114306
"Höfuðborgarsvæði","Alls","2020","Kynsegin/annað",0
"Höfuðborgarsvæði","Alls","2021","Alls",236528
"Höfuðborgarsvæði","Alls","2021","Karlar",120280
"Höfuðborgarsvæði","Alls","2021","Konur",116248
"Höfuðborgarsvæði","Alls","2021","Kynsegin/annað",0
"Höfuðborgarsvæði","Alls","2022","Alls",240882
"Höfuðborgarsvæði","Alls","2022","Karlar",122627
"Höfuðborgarsvæði","Alls","2022","Konur",118200
"Höfuðborgarsvæði","Alls","2022","Kynsegin/annað",55
"Höfuðborgarsvæði","Alls","2023","Alls",247533
"Höfuðborgarsvæði","Alls","2023","Karlar",126505
"Höfuðborgarsvæði","Alls","2023","Konur",120931
"Höfuðborgarsvæði","Alls","2023","Kynsegin/annað",97
"Suðurnes","Alls","1998","Alls",15715
"Suðurnes","Alls","1998","Karlar",8075
"Suðurnes","Alls","1998","Konur",7640
"Suðurnes","Alls","1998","Kynsegin/annað",0
"Suðurnes","Alls","1999","Alls",15859
"Suðurnes","Alls","1999","Karlar",8116
"Suðurnes","Alls","1999","Konur",7743
"Suðurnes","Alls","1999","Kynsegin/annað",0
"Suðurnes","Alls","2000","Alls",16106
"Suðurnes","Alls","2000","Karlar",8220
"Suðurnes","Alls","2000","Konur",7886
"Suðurnes","Alls","2000","Kynsegin/annað",0
"Suðurnes","Alls","2001","Alls",16531
"Suðurnes","Alls","2001","Karlar",8437
"Suðurnes","Alls","2001","Konur",8094
"Suðurnes","Alls","2001","Kynsegin/annað",0
"Suðurnes","Alls","2002","Alls",16730
"Suðurnes","Alls","2002","Karlar",8565
"Suðurnes","Alls","2002","Konur",8165
"Suðurnes","Alls","2002","Kynsegin/annað",0
"Suðurnes","Alls","2003","Alls",16802
"Suðurnes","Alls","2003","Karlar",8570
"Suðurnes","Alls","2003","Konur",8232
"Suðurnes","Alls","2003","Kynsegin/annað",0
"Suðurnes","Alls","2004","Alls",16953
"Suðurnes","Alls","2004","Karlar",8632
"Suðurnes","Alls","2004","Konur",8321
"Suðurnes","Alls","2004","Kynsegin/annað",0
"Suðurnes","Alls","2005","Alls",17110
"Suðurnes","Alls","2005","Karlar",8724
"Suðurnes","Alls","2005","Konur",8386
"Suðurnes","Alls","2005","Kynsegin/annað",0
"Suðurnes","Alls","2006","Alls",17915
"Suðurnes","Alls","2006","Karlar",9127
"Suðurnes","Alls","2006","Konur",8788
"Suðurnes","Alls","2006","Kynsegin/annað",0
"Suðurnes","Alls","2007","Alls",18912
"Suðurnes","Alls","2007","Karlar",9801
"Suðurnes","Alls","2007","Konur",9111
"Suðurnes","Alls","2007","Kynsegin/annað",0
"Suðurnes","Alls","2008","Alls",20659
"Suðurnes","Alls","2008","Karlar",10779
"Suðurnes","Alls","2008","Konur",9880
"Suðurnes","Alls","2008","Kynsegin/annað",0
"Suðurnes","Alls","2009","Alls",21544
"Suðurnes","Alls","2009","Karlar",11147
"Suðurnes","Alls","2009","Konur",10397
"Suðurnes","Alls","2009","Kynsegin/annað",0
"Suðurnes","Alls","2010","Alls",21359
"Suðurnes","Alls","2010","Karlar",11029
"Suðurnes","Alls","2010","Konur",10330
"Suðurnes","Alls","2010","Kynsegin/annað",0
"Suðurnes","Alls","2011","Alls",21088
"Suðurnes","Alls","2011","Karlar",10850
"Suðurnes","Alls","2011","Konur",10238
"Suðurnes","Alls","2011","Kynsegin/annað",0
"Suðurnes","Alls","2012","Alls",21242
"Suðurnes","Alls","2012","Karlar",10862
"Suðurnes","Alls","2012","Konur",10380
"Suðurnes","Alls","2012","Kynsegin/annað",0
"Suðurnes","Alls","2013","Alls",21206
"Suðurnes","Alls","2013","Karlar",10871
"Suðurnes","Alls","2013","Konur",10335
"Suðurnes","Alls","2013","Kynsegin/annað",0
"Suðurnes","Alls","2014","Alls",21560
"Suðurnes","Alls","2014","Karlar",11050
"Suðurnes","Alls","2014","Konur",10510
"Suðurnes","Alls","2014","Kynsegin/annað",0
"Suðurnes","Alls","2015","Alls",22026
"Suðurnes","Alls","2015","Karlar",11280
"Suðurnes","Alls","2015","Konur",10746
"Suðurnes","Alls","2015","Kynsegin/annað",0
"Suðurnes","Alls","2016","Alls",22509
"Suðurnes","Alls","2016","Karlar",11606
"Suðurnes","Alls","2016","Konur",10903
"Suðurnes","Alls","2016","Kynsegin/annað",0
"Suðurnes","Alls","2017","Alls",23993
"Suðurnes","Alls","2017","Karlar",12553
"Suðurnes","Alls","2017","Konur",11440
"Suðurnes","Alls","2017","Kynsegin/annað",0
"Suðurnes","Alls","2018","Alls",25770
"Suðurnes","Alls","2018","Karlar",13691
"Suðurnes","Alls","2018","Konur",12079
"Suðurnes","Alls","2018","Kynsegin/annað",0
"Suðurnes","Alls","2019","Alls",27113
"Suðurnes","Alls","2019","Karlar",14524
"Suðurnes","Alls","2019","Konur",12589
"Suðurnes","Alls","2019","Kynsegin/annað",0
"Suðurnes","Alls","2020","Alls",27829
"Suðurnes","Alls","2020","Karlar",14883
"Suðurnes","Alls","2020","Konur",12946
"Suðurnes","Alls","2020","Kynsegin/annað",0
"Suðurnes","Alls","2021","Alls",28195
"Suðurnes","Alls","2021","Karlar",15062
"Suðurnes","Alls","2021","Konur",13133
"Suðurnes","Alls","2021","Kynsegin/annað",0
"Suðurnes","Alls","2022","Alls",29108
"Suðurnes","Alls","2022","Karlar",15529
"Suðurnes","Alls","2022","Konur",13576
"Suðurnes","Alls","2022","Kynsegin/annað",3
"Suðurnes","Alls","2023","Alls",31049
"Suðurnes","Alls","2023","Karlar",16799
"Suðurnes","Alls","2023","Konur",14245
"Suðurnes","Alls","2023","Kynsegin/annað",5
"Vesturland","Alls","1998","Alls",13924
"Vesturland","Alls","1998","Karlar",7144
"Vesturland","Alls","1998","Konur",6780
"Vesturland","Alls","1998","Kynsegin/annað",0
"Vesturland","Alls","1999","Alls",13950
"Vesturland","Alls","1999","Karlar",7151
"Vesturland","Alls","1999","Konur",6799
"Vesturland","Alls","1999","Kynsegin/annað",0
"Vesturland","Alls","2000","Alls",14062
"Vesturland","Alls","2000","Karlar",7233
"Vesturland","Alls","2000","Konur",6829
"Vesturland","Alls","2000","Kynsegin/annað",0
"Vesturland","Alls","2001","Alls",14278
"Vesturland","Alls","2001","Karlar",7325
"Vesturland","Alls","2001","Konur",6953
"Vesturland","Alls","2001","Kynsegin/annað",0
"Vesturland","Alls","2002","Alls",14469
"Vesturland","Alls","2002","Karlar",7445
"Vesturland","Alls","2002","Konur",7024
"Vesturland","Alls","2002","Kynsegin/annað",0
"Vesturland","Alls","2003","Alls",14516
"Vesturland","Alls","2003","Karlar",7483
"Vesturland","Alls","2003","Konur",7033
"Vesturland","Alls","2003","Kynsegin/annað",0
"Vesturland","Alls","2004","Alls",14438
"Vesturland","Alls","2004","Karlar",7461
"Vesturland","Alls","2004","Konur",6977
"Vesturland","Alls","2004","Kynsegin/annað",0
"Vesturland","Alls","2005","Alls",14422
"Vesturland","Alls","2005","Karlar",7447
"Vesturland","Alls","2005","Konur",6975
"Vesturland","Alls","2005","Kynsegin/annað",0
"Vesturland","Alls","2006","Alls",14877
"Vesturland","Alls","2006","Karlar",7776
"Vesturland","Alls","2006","Konur",7101
"Vesturland","Alls","2006","Kynsegin/annað",0
"Vesturland","Alls","2007","Alls",15029
"Vesturland","Alls","2007","Karlar",7857
"Vesturland","Alls","2007","Konur",7172
"Vesturland","Alls","2007","Kynsegin/annað",0
"Vesturland","Alls","2008","Alls",15569
"Vesturland","Alls","2008","Karlar",8166
"Vesturland","Alls","2008","Konur",7403
"Vesturland","Alls","2008","Kynsegin/annað",0
"Vesturland","Alls","2009","Alls",15707
"Vesturland","Alls","2009","Karlar",8153
"Vesturland","Alls","2009","Konur",7554
"Vesturland","Alls","2009","Kynsegin/annað",0
"Vesturland","Alls","2010","Alls",15370
"Vesturland","Alls","2010","Karlar",7911
"Vesturland","Alls","2010","Konur",7459
"Vesturland","Alls","2010","Kynsegin/annað",0
"Vesturland","Alls","2011","Alls",15379
"Vesturland","Alls","2011","Karlar",7921
"Vesturland","Alls","2011","Konur",7458
"Vesturland","Alls","2011","Kynsegin/annað",0
"Vesturland","Alls","2012","Alls",15368
"Vesturland","Alls","2012","Karlar",7898
"Vesturland","Alls","2012","Konur",7470
"Vesturland","Alls","2012","Kynsegin/annað",0
"Vesturland","Alls","2013","Alls",15381
"Vesturland","Alls","2013","Karlar",7898
"Vesturland","Alls","2013","Konur",7483
"Vesturland","Alls","2013","Kynsegin/annað",0
"Vesturland","Alls","2014","Alls",15441
"Vesturland","Alls","2014","Karlar",7906
"Vesturland","Alls","2014","Konur",7535
"Vesturland","Alls","2014","Kynsegin/annað",0
"Vesturland","Alls","2015","Alls",15566
"Vesturland","Alls","2015","Karlar",7968
"Vesturland","Alls","2015","Konur",7598
"Vesturland","Alls","2015","Kynsegin/annað",0
"Vesturland","Alls","2016","Alls",15766
"Vesturland","Alls","2016","Karlar",8096
"Vesturland","Alls","2016","Konur",7670
"Vesturland","Alls","2016","Kynsegin/annað",0
"Vesturland","Alls","2017","Alls",15929
"Vesturland","Alls","2017","Karlar",8171
"Vesturland","Alls","2017","Konur",7758
"Vesturland","Alls","2017","Kynsegin/annað",0
"Vesturland","Alls","2018","Alls",16257
"Vesturland","Alls","2018","Karlar",8420
"Vesturland","Alls","2018","Konur",7837
"Vesturland","Alls","2018","Kynsegin/annað",0
"Vesturland","Alls","2019","Alls",16507
"Vesturland","Alls","2019","Karlar",8612
"Vesturland","Alls","2019","Konur",7895
"Vesturland","Alls","2019","Kynsegin/annað",0
"Vesturland","Alls","2020","Alls",16662
"Vesturland","Alls","2020","Karlar",8684
"Vesturland","Alls","2020","Konur",7978
"Vesturland","Alls","2020","Kynsegin/annað",0
"Vesturland","Alls","2021","Alls",16710
"Vesturland","Alls","2021","Karlar",8715
"Vesturland","Alls","2021","Konur",7995
"Vesturland","Alls","2021","Kynsegin/annað",0
"Vesturland","Alls","2022","Alls",17019
"Vesturland","Alls","2022","Karlar",8917
"Vesturland","Alls","2022","Konur",8100
"Vesturland","Alls","2022","Kynsegin/annað",2
"Vesturland","Alls","2023","Alls",17541
"Vesturland","Alls","2023","Karlar",9177
"Vesturland","Alls","2023","Konur",8362
"Vesturland","Alls","2023","Kynsegin/annað",2
"Vestfirðir","Alls","1998","Alls",8556
"Vestfirðir","Alls","1998","Karlar",4405
"Vestfirðir","Alls","1998","Konur",4151
"Vestfirðir","Alls","1998","Kynsegin/annað",0
"Vestfirðir","Alls","1999","Alls",8503
"Vestfirðir","Alls","1999","Karlar",4347
"Vestfirðir","Alls","1999","Konur",4156
"Vestfirðir","Alls","1999","Kynsegin/annað",0
"Vestfirðir","Alls","2000","Alls",8219
"Vestfirðir","Alls","2000","Karlar",4217
"Vestfirðir","Alls","2000","Konur",4002
"Vestfirðir","Alls","2000","Kynsegin/annað",0
"Vestfirðir","Alls","2001","Alls",8059
"Vestfirðir","Alls","2001","Karlar",4125
"Vestfirðir","Alls","2001","Konur",3934
"Vestfirðir","Alls","2001","Kynsegin/annað",0
"Vestfirðir","Alls","2002","Alls",7913
"Vestfirðir","Alls","2002","Karlar",4044
"Vestfirðir","Alls","2002","Konur",3869
"Vestfirðir","Alls","2002","Kynsegin/annað",0
"Vestfirðir","Alls","2003","Alls",7821
"Vestfirðir","Alls","2003","Karlar",4010
"Vestfirðir","Alls","2003","Konur",3811
"Vestfirðir","Alls","2003","Kynsegin/annað",0
"Vestfirðir","Alls","2004","Alls",7736
"Vestfirðir","Alls","2004","Karlar",3975
"Vestfirðir","Alls","2004","Konur",3761
"Vestfirðir","Alls","2004","Kynsegin/annað",0
"Vestfirðir","Alls","2005","Alls",7597
"Vestfirðir","Alls","2005","Karlar",3894
"Vestfirðir","Alls","2005","Konur",3703
"Vestfirðir","Alls","2005","Kynsegin/annað",0
"Vestfirðir","Alls","2006","Alls",7446
"Vestfirðir","Alls","2006","Karlar",3803
"Vestfirðir","Alls","2006","Konur",3643
"Vestfirðir","Alls","2006","Kynsegin/annað",0
"Vestfirðir","Alls","2007","Alls",7361
"Vestfirðir","Alls","2007","Karlar",3786
"Vestfirðir","Alls","2007","Konur",3575
"Vestfirðir","Alls","2007","Kynsegin/annað",0
"Vestfirðir","Alls","2008","Alls",7238
"Vestfirðir","Alls","2008","Karlar",3728
"Vestfirðir","Alls","2008","Konur",3510
"Vestfirðir","Alls","2008","Kynsegin/annað",0
"Vestfirðir","Alls","2009","Alls",7287
"Vestfirðir","Alls","2009","Karlar",3757
"Vestfirðir","Alls","2009","Konur",3530
"Vestfirðir","Alls","2009","Kynsegin/annað",0
"Vestfirðir","Alls","2010","Alls",7266
